Detailed group,Description
01110,"Growing of cereals (except rice), leguminous crops and oil seeds"
01120,Growing of rice
01131,Growing of potatoes
01132,Growing of sugar beet
01133,Growing of vegetables in the open
01134,Growing of vegetables in greenhouses
01135,Growing of mushrooms etc.
01140,Growing of sugar cane
01150,Growing of tobacco
01160,Growing of fibre crops
01191,Growing of flowers and ornamental plants in greenhouses
01199,Growing of other non-perennial crops n.e.c.
01210,Growing of grapes
01220,Growing of tropical and subtropical fruits
01230,Growing of citrus fruits
01240,Growing of pome fruits and stone fruits
01250,Growing of other tree and bush fruits and nuts
01260,Growing of oleaginous fruits
01270,Growing of beverage crops
01280,"Growing of spices, aromatic, drug and pharmaceutical crops"
01290,Growing of other perennial crops
01301,Plant propagation in greenhouses
01302,Plant propagation in the open
01410,Milk production and raising of dairy cattle
01420,Raising of other cattle and buffaloes
01430,Raising of horses and other equines
01440,Raising of camels and camelids
01450,Raising of sheep and  goats
01461,Raising of piglets
01462,Raising of swine for slaughter
01471,Egg production
01472,Raising of poultry
01491,Reindeer husbandry
01492,Breeding of pet animals
01499,Raising of other animals n.e.c.
01500,Mixed farming
01610,Support activities for crop production
01620,Support activities for animal production
01630,Post-harvest crop activities
01640,Seed processing for propagation
01700,"Hunting, trapping and related service activities"
02101,Forest management
02102,Silviculture
02109,Other forestry activities
02200,Logging
02300,Gathering of wild growing non-wood products
02401,Wood measurement
02409,Other support services to forestry
03111,Marine trawling
03119,Other marine fishing
03120,Freshwater fishing
03210,Marine aquaculture
03220,Freshwater aquaculture
05100,Mining of hard coal
05200,Mining of lignite
06100,Extraction of crude petroleum
06200,Extraction of natural gas
07100,Mining of iron ores
07210,Mining of uranium and thorium ores
07290,Mining of other non-ferrous metal ores
08110,"Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate"
08120,Operation of gravel and sand pits; mining of clays and kaolin
08910,Mining of chemical and fertiliser minerals
08920,Extraction of peat
08930,Extraction of salt
08990,Other mining and quarrying n.e.c.
09100,Support activities for petroleum and natural gas extraction
09900,Support activities for other mining and quarrying
10111,Livestock slaughtering
10112,Processing and preserving of meat in cuts
10120,Processing and preserving of poultry meat
10130,Production of meat and poultry meat products
10200,"Processing and preserving of fish, crustaceans and molluscs"
10310,Processing and preserving of potatoes
10320,Manufacture of fruit and vegetable juice
10390,Other processing and preserving of fruit and vegetables
10410,Manufacture of oils and fats
10420,Manufacture of margarine and similar edible fats
10511,Cheese production
10519,Other dairy production
10520,Manufacture of ice cream
10611,Production of flour
10612,"Manufacture of breakfast cereals, blended flour mixes and other prepared grain mill products"
10620,Manufacture of starches and starch products
10710,Manufacture of bread; manufacture of fresh pastry goods and cakes
10721,Manufacture of crispbread
10722,"Manufacture of rusks, biscuits and preserved pastry goods and cakes"
10730,"Manufacture of macaroni, noodles, couscous and similar farinaceous products"
10810,Manufacture of sugar
10821,Manufacture of sugar confectionery
10822,Manufacture of cocoa and chocolate confectionery
